Joueur,Équipe,Matchs,Minutes,Buts,Passes décisives,xG,xA,MinsPerMatch,GoalsPerMatch
Thomas Partey,Arsenal,14,1203,2,1,0.9918473772704601,1.4141913540661335,85,0.14285714285714285
Christopher Nkunku,Chelsea,14,245,2,1,2.876519337296486,1.4149330891668797,17,0.14285714285714285
Adam Armstrong,Southampton,12,784,2,1,2.62375620380044,0.6873261602595448,65,0.16666666666666666
Dominic Calvert-Lewin,Everton,14,1117,2,1,5.2245348654687405,0.5996980015188456,79,0.14285714285714285
Aaron Wan-Bissaka,West Ham,14,1176,2,0,0.6059641558676958,0.5033945385366678,84,0.14285714285714285
Yves Bissouma,Tottenham,12,744,2,0,0.19564853981137276,0.19599152356386185,62,0.16666666666666666
Jadon Sancho,Chelsea,9,505,2,3,0.6685477048158646,1.2584355548024178,56,0.2222222222222222
Callum Hudson-Odoi,Nottingham Forest,14,1079,2,1,1.199273258447647,1.4370509292930365,77,0.14285714285714285
Curtis Jones,Liverpool,11,571,2,1,2.1459856033325195,0.3129430487751961,51,0.18181818181818182
Diogo Jota,Liverpool,7,507,2,2,3.803277149796486,0.8164496086537838,72,0.2857142857142857
Morgan Gibbs-White,Nottingham Forest,11,871,2,1,1.6364133600145578,1.9359391257166862,79,0.18181818181818182
William Saliba,Arsenal,14,1199,2,0,2.479394316673279,0.5203959345817566,85,0.14285714285714285
Pedro Porro,Tottenham,15,1287,2,2,1.4065383709967136,1.7030955767259002,85,0.13333333333333333
Georginio Rutter,Brighton,14,886,2,2,2.9334173649549484,1.4666455909609795,63,0.14285714285714285
Lucas Paquetá,West Ham,15,1052,2,0,2.3535191919654608,1.1319747157394886,70,0.13333333333333333
Stephy Mavididi,Leicester,14,690,2,0,2.006233334541321,1.043651457875967,49,0.14285714285714285
Marc Guehi,Crystal Palace,15,1350,2,1,1.7445537745952606,0.6918814685195684,90,0.13333333333333333
James Justin,Leicester,14,1255,2,1,0.8788020983338356,0.5461153779178858,89,0.14285714285714285
Mikkel Damsgaard,Brentford,15,1068,2,4,2.128569010645151,3.6304318318143487,71,0.13333333333333333
Jéremy Doku,Manchester City,11,550,2,2,0.9497841522097588,1.4943493138998747,50,0.18181818181818182
Iliman Ndiaye,Everton,14,1092,2,0,1.5771787129342556,0.7548718396574259,78,0.14285714285714285
Dango Ouattara,Bournemouth,12,508,2,2,3.1514388136565685,2.657526036724448,42,0.16666666666666666
Amadou Onana,Aston Villa,10,743,2,0,1.9774937815964222,0.11732264701277018,74,0.2
Ethan Pinnock,Brentford,15,1350,2,0,0.8100743740797043,1.5102842152118683,90,0.13333333333333333
Nathan Collins,Brentford,15,1350,2,1,1.9711016342043877,0.6280886344611645,90,0.13333333333333333
Cameron Archer,Southampton,15,851,2,0,5.299083240330219,0.09895281493663788,56,0.13333333333333333
Carlos Baleba,Brighton,12,828,2,1,0.8498196471482515,0.570726789534092,69,0.16666666666666666
Darwin Núñez,Liverpool,11,619,2,1,2.6361952647566795,1.0321894902735949,56,0.18181818181818182
Joe Ayodele-Aribo,Southampton,14,814,2,0,2.4184633065015078,1.039498845115304,58,0.14285714285714285
Rasmus Højlund,Manchester United,10,616,2,0,1.563484638929367,0.18972457759082317,61,0.2
Cody Gakpo,Liverpool,14,612,2,1,2.8990979082882404,1.8076484724879265,43,0.14285714285714285
